1 :  49   [[83, 41, 23], [83, 36, 29], [84, 45, 20], [98, 49], [79, 70], [90, 57], [96, 46], [93, 57], [92, 57], [98, 43], [84, 62], [93, 55], [84, 55], [86, 60], [82, 60], [91, 57], [87, 58], [67, 74], [94, 43], [80, 70], [96, 50], [79, 45, 26], [91, 59], [69, 73], [85, 64], [74, 69], [81, 58], [76, 66], [98, 46], [80, 69], [33, 85, 32], [84, 62], [82, 58], [73, 71], [78, 49], [78, 42, 25], [80, 70], [84, 42, 24], [78, 72], [78, 55], [38, 73, 38], [73, 44, 33], [43, 39, 42, 25], [49, 41, 47], [43, 41, 33, 32], [36, 42, 44, 27], [42, 28, 39, 38], [36, 37, 27, 35], [23, 30, 30, 30]]
2 :  49   [[98, 46], [84, 60], [94, 55], [92, 58], [83, 67], [96, 43], [93, 57], [80, 70], [91, 57], [87, 55], [93, 44], [98, 47], [42, 85, 23], [69, 73], [80, 69], [96, 46], [85, 62], [82, 64], [91, 49], [84, 62], [58, 76], [98, 42], [79, 69], [79, 58], [73, 73], [86, 57], [72, 70], [82, 66], [80, 70], [78, 49, 23], [90, 27, 32], [78, 42, 29], [74, 74], [78, 71], [57, 83], [84, 60], [84, 41, 25], [84, 59], [78, 45, 25], [73, 45, 30], [81, 44, 24], [50, 38, 55], [42, 49, 28, 30], [41, 43, 32, 33], [36, 43, 42, 27], [43, 38, 36, 26], [30, 41, 39, 35], [38, 39, 36, 37], [33, 33, 20]]
3 :  49   [[94, 55], [98, 43], [93, 57], [90, 58], [93, 49], [92, 49], [96, 47], [96, 44], [84, 64], [78, 67], [79, 70], [98, 50], [81, 60], [98, 42], [85, 59], [86, 62], [80, 69], [84, 44, 20], [41, 84, 24], [82, 62], [55, 87], [74, 57], [73, 70], [84, 41, 25], [84, 66], [91, 58], [91, 58], [60, 80], [73, 76], [82, 55], [78, 46, 26], [69, 73], [41, 85, 23], [83, 43, 23], [83, 57], [80, 69], [78, 70], [79, 71], [57, 46, 45], [78, 42, 30], [74, 73], [72, 42, 36], [43, 42, 39, 25], [42, 45, 49], [33, 43, 35, 39], [37, 38, 29, 38], [36, 38, 36, 32], [28, 32, 30, 27, 30], [33, 33, 27]]
4 :  49   [[84, 55], [92, 58], [96, 50], [86, 58], [98, 49], [70, 80], [60, 84], [91, 57], [82, 62], [98, 49], [83, 60], [93, 57], [98, 49], [93, 57], [94, 55], [81, 69], [87, 58], [91, 39], [43, 96], [85, 57], [42, 72, 36], [90, 59], [78, 70], [84, 64], [82, 66], [73, 70], [84, 39, 27], [76, 74], [85, 62], [73, 74], [78, 71], [84, 33, 33], [79, 69], [80, 69], [78, 67], [83, 44, 23], [80, 46, 23], [73, 38, 36], [42, 79, 26], [78, 45, 25], [43, 73, 32], [55, 47, 46], [45, 42, 42, 20], [43, 36, 38, 30], [41, 35, 29, 43], [44, 32, 41, 30], [42, 41, 33, 24], [37, 38, 30, 28], [27, 25]]
5 :  49   [[84, 58], [85, 60], [98, 32], [90, 55], [87, 62], [86, 62], [84, 66], [79, 69], [96, 50], [94, 38], [98, 43], [92, 57], [91, 46], [73, 73], [74, 76], [79, 71], [83, 49], [91, 59], [84, 57], [96, 49], [80, 69], [82, 57], [80, 58], [93, 55], [73, 74], [93, 57], [83, 29, 38], [78, 69], [84, 42, 23], [98, 45], [82, 67], [85, 64], [84, 60], [78, 70], [70, 80], [72, 73], [58, 49, 39], [42, 78, 30], [43, 78, 26], [81, 39, 30], [70, 55, 25], [41, 44, 43, 20], [41, 47, 36, 25], [45, 42, 36, 27], [30, 41, 44, 35], [36, 38, 43, 28], [42, 32, 33, 33], [46, 42, 37, 24], [33, 27, 23]]
6 :  49   [[91, 30, 29], [93, 55], [84, 41, 23], [92, 58], [98, 44], [94, 55], [90, 60], [83, 62], [96, 43], [98, 43], [70, 80], [70, 80], [96, 50], [85, 32, 27], [74, 74], [83, 41, 26], [93, 46], [82, 66], [91, 59], [87, 62], [85, 47], [98, 41], [73, 76], [84, 49], [49, 82], [78, 57], [84, 60], [73, 43, 33], [79, 67], [79, 70], [78, 69], [72, 73], [84, 25, 39], [84, 64], [49, 73, 28], [78, 57], [81, 69], [86, 42, 20], [71, 78], [69, 80], [57, 58, 33], [42, 55, 46], [57, 58, 35], [36, 42, 43, 27], [45, 42, 36, 24], [45, 42, 25, 38], [32, 38, 44, 36], [38, 39, 33, 23], [37, 30, 30]]
7 :  49   [[55, 80], [90, 58], [92, 58], [57, 84], [69, 73], [91, 47], [98, 46], [93, 49], [96, 43], [78, 57], [98, 50], [98, 43], [96, 45], [78, 43, 28], [85, 55], [83, 64], [84, 49], [78, 46, 26], [94, 45], [78, 70], [76, 71], [80, 69], [73, 73], [86, 62], [93, 57], [84, 33, 30], [82, 59], [36, 85, 27], [84, 42, 24], [87, 62], [72, 74], [30, 82, 38], [91, 57], [41, 84, 25], [81, 37, 30], [79, 70], [70, 80], [79, 69], [43, 67, 39], [74, 73], [83, 41, 25], [60, 60, 27], [35, 39, 66], [58, 55, 36], [42, 44, 41, 23], [49, 33, 42, 23], [32, 33, 44, 38], [42, 36, 38, 32], [42, 29, 20]]
8 :  49   [[91, 55], [83, 64], [84, 66], [80, 42, 27], [79, 69], [91, 57], [58, 84], [98, 46], [87, 57], [79, 71], [98, 44], [84, 60], [96, 43], [84, 57], [42, 69, 38], [85, 62], [80, 41, 25], [93, 55], [92, 28, 26], [94, 49], [93, 55], [98, 50], [73, 73], [85, 60], [90, 59], [96, 49], [74, 69], [67, 76], [70, 78], [70, 80], [83, 62], [84, 44, 20], [78, 72], [81, 58], [78, 70], [86, 57], [42, 78, 30], [73, 73], [82, 43, 23], [74, 49, 25], [82, 36, 32], [39, 42, 43, 24], [58, 45, 43], [30, 42, 36, 39], [45, 38, 46], [36, 41, 38, 30], [47, 41, 37, 23], [35, 29, 33, 27], [33, 33, 32]]
9 :  49   [[98, 49], [96, 49], [98, 45], [96, 41], [94, 55], [90, 55], [84, 66], [60, 86], [85, 42, 23], [80, 64], [73, 70], [44, 83, 23], [91, 57], [73, 70], [84, 47], [84, 57], [67, 80], [71, 76], [92, 58], [93, 57], [93, 50], [74, 69], [85, 62], [78, 70], [91, 58], [87, 60], [83, 59], [78, 72], [79, 69], [80, 45, 25], [98, 49], [84, 42, 24], [62, 78], [73, 57], [84, 55], [79, 69], [74, 73], [33, 42, 43, 30], [82, 43, 25], [39, 82, 29], [78, 42, 30], [43, 46, 58], [81, 44, 20], [46, 39, 36, 26], [43, 38, 35, 32], [37, 33, 36, 38], [42, 36, 38, 30], [41, 41, 33, 28], [32, 27, 27]]
10 :  49   [[83, 62], [98, 49], [92, 57], [94, 55], [96, 46], [86, 58], [90, 59], [96, 41], [91, 36, 23], [79, 69], [98, 45], [84, 55], [78, 70], [98, 43], [60, 87], [82, 50], [85, 60], [80, 70], [93, 57], [93, 57], [83, 42, 24], [78, 70], [71, 67], [85, 62], [91, 57], [81, 58], [84, 44, 20], [80, 66], [74, 73], [76, 72], [84, 39, 25], [82, 43, 25], [84, 58], [78, 69], [80, 64], [74, 42, 33], [79, 69], [38, 84, 27], [73, 73], [42, 78, 30], [47, 73, 30], [33, 44, 49, 23], [55, 38, 49], [38, 43, 32, 36], [46, 43, 39], [35, 42, 29, 41], [45, 37, 41, 27], [28, 42, 30, 36], [26, 32, 33]]
11 :  49   [[93, 55], [62, 69], [80, 70], [85, 57], [80, 41, 27], [96, 49], [64, 84], [60, 90], [83, 59], [41, 96], [98, 42], [92, 58], [58, 87], [74, 73], [94, 55], [71, 78], [49, 55, 46], [76, 70], [98, 45], [84, 66], [93, 57], [98, 49], [84, 57], [82, 67], [85, 62], [44, 91], [83, 60], [86, 57], [78, 43, 27], [84, 42, 24], [79, 70], [84, 47], [69, 72], [80, 43, 25], [79, 69], [78, 42, 28], [91, 58], [82, 45, 23], [73, 73], [78, 42, 30], [73, 46, 29], [32, 81, 36], [74, 44, 25], [43, 41, 33, 33], [38, 38, 50, 23], [39, 36, 42, 33], [39, 43, 30, 36], [38, 37, 32, 30], [35, 26, 20]]
